name,base-RevTerm-best_cmd,base-RevTerm-time,h1-RevTerm-best_cmd,h1-RevTerm-time,h2-RevTerm-best_cmd,h2-RevTerm-time,h12-RevTerm-best_cmd,h12-RevTerm-time,direct-z3-RevTerm-best_cmd,direct-z3-RevTerm-time,cvc5-RevTerm-best_cmd,cvc5-RevTerm-time
2Nested_false-termination.c.smt2,./PolyQEnt experiments/benchmarks/RevTerm/all/2Nested_false-termination.c.smt2 experiments/configs-base/mathsat/benchmarks/RevTerm/all/2Nested_false-termination.c.smt2.json,1450.0,./PolyQEnt experiments/benchmarks/RevTerm/best_config/2Nested_false-termination.c.smt2 experiments/configs-h1/mathsat/benchmarks/RevTerm/best_config/2Nested_false-termination.c.smt2.json,298.0,./PolyQEnt experiments/benchmarks/RevTerm/all/2Nested_false-termination.c.smt2 experiments/configs-h2/mathsat/benchmarks/RevTerm/all/2Nested_false-termination.c.smt2.json,4412.0,./PolyQEnt experiments/benchmarks/RevTerm/best_config/2Nested_false-termination.c.smt2 experiments/configs-h12/mathsat/benchmarks/RevTerm/best_config/2Nested_false-termination.c.smt2.json,475.0,,,,
2Nested_true-termination.c.smt2,,,,,,,,,,,,
4NestedWith3Variables_true-termination.c.smt2,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c.smt2,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c.smt2,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c.smt2,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c.smt2,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-counterex1a_true-termination.c.smt2,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c.smt2,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c.smt2,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c.smt2,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-loops_true-termination.c.smt2,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-ndecr_true-termination.c.smt2,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c.smt2,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-random1d_true-termination.c.smt2,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-random2d_true-termination.c.smt2,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c.smt2,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-speedFails4_true-termination.c.smt2,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination.c.smt2,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination.c.smt2,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination.c.smt2,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-terminate_true-termination.c.smt2,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-wcet2_true-termination.c.smt2,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-while2_true-termination.c.smt2,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-wise_true-termination.c.smt2,,,,,,,,,,,,
AlternDiv.c.smt2,./PolyQEnt experiments/benchmarks/RevTerm/best_config/AlternDiv.c.smt2 experiments/configs-base/mathsat/benchmarks/RevTerm/best_config/AlternDiv.c.smt2.json,619.0,./PolyQEnt experiments/benchmarks/RevTerm/best_config/AlternDiv.c.smt2 experiments/configs-h1/mathsat/benchmarks/RevTerm/best_config/AlternDiv.c.smt2.json,214.0,./PolyQEnt experiments/benchmarks/RevTerm/best_config/AlternDiv.c.smt2 experiments/configs-h2/z3/benchmarks/RevTerm/best_config/AlternDiv.c.smt2.json,1852.0,./PolyQEnt experiments/benchmarks/RevTerm/best_config/AlternDiv.c.smt2 experiments/configs-h12/z3/benchmarks/RevTerm/best_config/AlternDiv.c.smt2.json,836.0,./solver/z3 -smt2 experiments/benchmarks/RevTerm/best_config/AlternDiv.c.smt2,21.0,,
AlternDivWide.c.smt2,,,,,,,,,,,,
AlternDivWidening.c.smt2,,,,,,,,,,,,
